* Measurement data measured by REW V5.19
* Source: M-Track Eight, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -4.0 dBFS  With no timing reference
* Dated: Jun 15, 2020 2:19:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mes_b_135_135
* Smoothing: 1/48 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
328.381 91.930 59.456
328.718 91.794 58.983
329.054 91.660 58.566
329.391 91.528 58.200
329.727 91.399 57.883
330.064 91.274 57.610
330.400 91.152 57.376
330.737 91.035 57.177
331.073 90.921 57.011
331.409 90.812 56.874
331.746 90.707 56.763
332.082 90.605 56.675
332.419 90.508 56.609
332.755 90.415 56.565
333.092 90.324 56.541
333.428 90.238 56.537
333.765 90.154 56.553
334.101 90.074 56.591
334.438 89.997 56.651
334.774 89.923 56.733
335.110 89.853 56.839
335.447 89.787 56.968
335.783 89.725 57.121
336.120 89.667 57.298
336.456 89.615 57.497
336.793 89.568 57.717
337.129 89.528 57.955
337.466 89.495 58.209
337.802 89.470 58.476
338.139 89.452 58.750
338.475 89.443 59.028
338.811 89.443 59.304
339.148 89.451 59.572
339.484 89.468 59.827
339.821 89.494 60.062
340.157 89.528 60.272
340.494 89.570 60.451
340.830 89.618 60.593
341.167 89.674 60.694
341.503 89.735 60.748
341.840 89.800 60.752
342.176 89.869 60.702
342.513 89.940 60.597
342.849 90.013 60.435
343.185 90.086 60.214
