* Measurement data measured by REW V5.19
* Source: M-Track Eight, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -4.0 dBFS  With no timing reference
* Dated: Jun 15, 2020 1:51:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mes_90_135
* Smoothing: 1/48 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
218.697 83.889 -157.533
219.033 84.393 -157.364
219.370 84.877 -157.435
219.706 85.342 -157.708
220.042 85.789 -158.152
220.379 86.219 -158.742
220.715 86.634 -159.457
221.052 87.034 -160.281
221.388 87.421 -161.200
221.725 87.794 -162.206
222.061 88.155 -163.290
222.398 88.503 -164.449
222.734 88.839 -165.677
223.071 89.162 -166.968
223.407 89.473 -168.320
223.743 89.773 -169.726
224.080 90.060 -171.181
224.416 90.336 -172.679
224.753 90.601 -174.215
225.089 90.856 -175.782
225.426 91.101 -177.375
225.762 91.337 -178.989
226.099 91.564 179.382
226.435 91.785 177.738
226.772 91.999 176.082
227.108 92.208 174.413
227.444 92.413 172.730
227.781 92.614 171.028
228.117 92.811 169.303
228.454 93.005 167.548
228.790 93.195 165.758
229.127 93.382 163.923
229.463 93.564 162.039
229.800 93.740 160.096
230.136 93.911 158.091
230.473 94.074 156.018
230.809 94.227 153.874
231.145 94.371 151.658
231.482 94.503 149.372
231.818 94.622 147.018
232.155 94.727 144.602
232.491 94.817 142.131
232.828 94.891 139.612
233.164 94.949 137.057
233.501 94.989 134.476
233.837 95.013 131.880
234.174 95.019 129.281
234.510 95.009 126.689
234.846 94.982 124.115
235.183 94.939 121.568
235.519 94.880 119.055
235.856 94.808 116.585
236.192 94.721 114.161
236.529 94.622 111.789
236.865 94.510 109.472
237.202 94.387 107.212
237.538 94.254 105.010
237.875 94.110 102.867
238.211 93.958 100.783
238.548 93.796 98.760
238.884 93.626 96.797
239.220 93.448 94.896
239.557 93.261 93.058
239.893 93.067 91.285
240.230 92.866 89.580
240.566 92.657 87.946
240.903 92.441 86.387
241.239 92.219 84.905
241.576 91.991 83.503
241.912 91.757 82.185
242.249 91.519 80.950
242.585 91.278 79.799
242.921 91.034 78.732
243.258 90.789 77.745
243.594 90.544 76.835
243.931 90.300 75.998
244.267 90.058 75.227
244.604 89.820 74.516
244.940 89.585 73.856
245.277 89.355 73.242
245.613 89.131 72.663
245.950 88.912 72.112
246.286 88.699 71.581
246.622 88.491 71.062
246.959 88.289 70.547
247.295 88.091 70.031
247.632 87.897 69.509
247.968 87.706 68.975
248.305 87.517 68.428
248.641 87.328 67.865
248.978 87.139 67.287
249.314 86.948 66.695
249.651 86.753 66.092
249.987 86.554 65.483
250.323 86.350 64.874
250.660 86.138 64.273
250.996 85.918 63.689
251.333 85.689 63.134
251.669 85.449 62.622
252.006 85.199 62.167
252.342 84.937 61.785
252.679 84.665 61.495
253.015 84.380 61.312
253.352 84.086 61.254
253.688 83.782 61.336
254.025 83.471 61.571
254.361 83.154 61.968
254.697 82.837 62.532
255.034 82.522 63.261
255.370 82.215 64.147
255.707 81.922 65.174
256.043 81.648 66.319
256.380 81.400 67.553
256.716 81.183 68.837
257.053 81.002 70.132
257.389 80.859 71.393
257.726 80.755 72.574
258.062 80.688 73.632
258.398 80.653 74.526
258.735 80.646 75.219
259.071 80.659 75.684
259.408 80.685 75.898
259.744 80.715 75.850
260.081 80.743 75.535
260.417 80.761 74.956
260.754 80.764 74.127
261.090 80.745 73.066
261.427 80.700 71.801
261.763 80.626 70.366
262.099 80.519 68.803
262.436 80.376 67.160
262.772 80.194 65.498
263.109 79.972 63.885
263.445 79.708 62.406
263.782 79.401 61.157
264.118 79.049 60.253
264.455 78.652 59.819
264.791 78.211 59.998
265.128 77.728 60.933
265.464 77.206 62.768
265.800 76.653 65.624
266.137 76.082 69.589
266.473 75.513 74.693
266.810 74.973 80.900
267.146 74.503 88.087
267.483 74.146 96.053
267.819 73.947 104.521
268.156 73.932 113.168
268.492 74.105 121.651
268.829 74.441 129.645
269.165 74.900 136.871
269.501 75.437 143.124
269.838 76.012 148.276
270.174 76.594 152.283
270.511 77.164 155.167
270.847 77.707 157.007
271.184 78.215 157.917
271.520 78.685 158.029
271.857 79.114 157.479
272.193 79.502 156.397
272.530 79.849 154.904
272.866 80.156 153.103
273.203 80.424 151.080
273.539 80.654 148.907
273.875 80.847 146.641
274.212 81.005 144.329
274.548 81.129 142.005
274.885 81.220 139.697
275.221 81.279 137.428
275.558 81.306 135.216
275.894 81.303 133.077
276.231 81.270 131.024
276.567 81.208 129.075
276.904 81.116 127.246
277.240 80.995 125.561
277.576 80.844 124.048
277.913 80.663 122.743
278.249 80.451 121.691
278.586 80.210 120.943
278.922 79.938 120.559
279.259 79.639 120.605
279.595 79.315 121.146
279.932 78.973 122.244
280.268 78.623 123.951
280.605 78.279 126.304
280.941 77.961 129.313
281.277 77.696 132.960
281.614 77.514 137.191
281.950 77.445 141.918
282.287 77.512 147.021
282.623 77.724 152.353
282.960 78.075 157.751
283.296 78.544 163.047
283.633 79.101 168.080
283.969 79.716 172.710
284.306 80.361 176.821
284.642 81.015 -179.668
284.978 81.663 -176.809
285.315 82.293 -174.617
285.651 82.899 -173.083
285.988 83.476 -172.174
286.324 84.021 -171.844
286.661 84.533 -172.033
286.997 85.012 -172.677
287.334 85.458 -173.713
287.670 85.871 -175.077
288.007 86.253 -176.711
288.343 86.604 -178.560
288.680 86.926 179.423
289.016 87.219 177.282
289.352 87.485 175.052
289.689 87.726 172.766
290.025 87.943 170.448
290.362 88.136 168.123
290.698 88.308 165.807
291.035 88.459 163.516
291.371 88.592 161.261
291.708 88.707 159.052
292.044 88.805 156.896
292.381 88.889 154.797
292.717 88.958 152.759
293.053 89.014 150.784
293.390 89.059 148.871
293.726 89.093 147.020
294.063 89.117 145.231
294.399 89.131 143.501
294.736 89.137 141.828
295.072 89.136 140.208
295.409 89.127 138.640
295.745 89.110 137.121
296.082 89.087 135.647
296.418 89.058 134.217
296.754 89.022 132.827
297.091 88.980 131.477
297.427 88.932 130.164
297.764 88.877 128.887
298.100 88.816 127.646
298.437 88.747 126.442
298.773 88.672 125.276
299.110 88.588 124.150
299.446 88.497 123.067
299.783 88.397 122.033
300.119 88.288 121.052
300.455 88.170 120.132
300.792 88.043 119.282
301.128 87.905 118.510
301.465 87.757 117.828
301.801 87.599 117.247
302.138 87.431 116.779
302.474 87.253 116.437
302.811 87.066 116.234
303.147 86.872 116.182
303.484 86.672 116.292
303.820 86.468 116.573
304.156 86.262 117.032
304.493 86.057 117.674
304.829 85.859 118.498
305.166 85.670 119.503
305.502 85.496 120.681
305.839 85.343 122.020
306.175 85.215 123.505
306.512 85.119 125.117
306.848 85.058 126.831
307.185 85.037 128.623
307.521 85.059 130.465
307.858 85.124 132.327
308.194 85.231 134.181
308.530 85.379 135.998
308.867 85.565 137.752
309.203 85.783 139.416
309.540 86.030 140.971
309.876 86.299 142.396
310.213 86.587 143.678
310.549 86.887 144.805
310.886 87.197 145.769
311.222 87.513 146.565
311.559 87.830 147.192
311.895 88.147 147.650
312.231 88.462 147.944
312.568 88.772 148.078
312.904 89.076 148.059
313.241 89.373 147.894
313.577 89.663 147.591
313.914 89.944 147.159
314.250 90.216 146.607
314.587 90.478 145.943
314.923 90.731 145.176
315.260 90.973 144.314
315.596 91.205 143.365
315.932 91.427 142.335
316.269 91.639 141.234
316.605 91.839 140.065
316.942 92.030 138.838
317.278 92.209 137.557
317.615 92.378 136.229
317.951 92.535 134.859
318.288 92.683 133.453
318.624 92.819 132.017
318.961 92.944 130.556
319.297 93.059 129.075
319.633 93.164 127.580
319.970 93.258 126.077
320.306 93.341 124.569
320.643 93.414 123.063
320.979 93.478 121.563
321.316 93.532 120.074
321.652 93.576 118.602
321.989 93.612 117.150
322.325 93.638 115.722
322.662 93.657 114.323
322.998 93.668 112.957
323.335 93.672 111.626
323.671 93.669 110.333
324.007 93.660 109.081
324.344 93.646 107.870
324.680 93.628 106.703
325.017 93.605 105.579
325.353 93.580 104.499
325.690 93.552 103.462
326.026 93.521 102.467
326.363 93.490 101.512
326.699 93.458 100.594
327.036 93.427 99.711
327.372 93.395 98.859
327.708 93.365 98.036
328.045 93.336 97.236
328.381 93.308 96.457
328.718 93.282 95.693
329.054 93.258 94.942
329.391 93.235 94.200
329.727 93.213 93.463
330.064 93.192 92.728
330.400 93.171 91.993
330.737 93.151 91.256
331.073 93.130 90.516
331.409 93.109 89.774
331.746 93.086 89.029
332.082 93.061 88.282
332.419 93.034 87.535
332.755 93.005 86.791
333.092 92.972 86.051
333.428 92.936 85.320
333.765 92.897 84.600
334.101 92.854 83.896
334.438 92.808 83.210
334.774 92.758 82.547
335.110 92.706 81.910
335.447 92.650 81.302
335.783 92.592 80.726
336.120 92.532 80.184
336.456 92.470 79.679
336.793 92.408 79.213
337.129 92.345 78.785
337.466 92.282 78.396
337.802 92.220 78.047
338.139 92.160 77.736
338.475 92.102 77.463
338.811 92.047 77.225
339.148 91.996 77.022
339.484 91.948 76.849
339.821 91.906 76.704
340.157 91.869 76.584
340.494 91.837 76.485
340.830 91.812 76.404
341.167 91.793 76.337
341.503 91.780 76.279
341.840 91.775 76.227
342.176 91.776 76.176
342.513 91.783 76.123
